Country Name,Country Code,"2001 [YR2001] - Population, total [SP.POP.TOTL]","2002 [YR2002] - Population, total [SP.POP.TOTL]","2003 [YR2003] - Population, total [SP.POP.TOTL]","2004 [YR2004] - Population, total [SP.POP.TOTL]","2005 [YR2005] - Population, total [SP.POP.TOTL]","2006 [YR2006] - Population, total [SP.POP.TOTL]","2007 [YR2007] - Population, total [SP.POP.TOTL]","2008 [YR2008] - Population, total [SP.POP.TOTL]","2009 [YR2009] - Population, total [SP.POP.TOTL]","2010 [YR2010] - Population, total [SP.POP.TOTL]","2011 [YR2011] - Population, total [SP.POP.TOTL]","2012 [YR2012] - Population, total [SP.POP.TOTL]","2013 [YR2013] - Population, total [SP.POP.TOTL]","2014 [YR2014] - Population, total [SP.POP.TOTL]","2015 [YR2015] - Population, total [SP.POP.TOTL]","2016 [YR2016] - Population, total [SP.POP.TOTL]","2017 [YR2017] - Population, total [SP.POP.TOTL]","2018 [YR2018] - Population, total [SP.POP.TOTL]","2019 [YR2019] - Population, total [SP.POP.TOTL]","2020 [YR2020] - Population, total [SP.POP.TOTL]","2021 [YR2021] - Population, total [SP.POP.TOTL]","2022 [YR2022] - Population, total [SP.POP.TOTL]","2023 [YR2023] - Population, total [SP.POP.TOTL]","2024 [YR2024] - Population, total [SP.POP.TOTL]","2025 [YR2025] - Population, total [SP.POP.TOTL]","2026 [YR2026] - Population, total [SP.POP.TOTL]","2027 [YR2027] - Population, total [SP.POP.TOTL]","2028 [YR2028] - Population, total [SP.POP.TOTL]","2029 [YR2029] - Population, total [SP.POP.TOTL]","2030 [YR2030] - Population, total [SP.POP.TOTL]","2031 [YR2031] - Population, total [SP.POP.TOTL]","2032 [YR2032] - Population, total [SP.POP.TOTL]","2033 [YR2033] - Population, total [SP.POP.TOTL]","2034 [YR2034] - Population, total [SP.POP.TOTL]","2035 [YR2035] - Population, total [SP.POP.TOTL]","2036 [YR2036] - Population, total [SP.POP.TOTL]","2037 [YR2037] - Population, total [SP.POP.TOTL]","2038 [YR2038] - Population, total [SP.POP.TOTL]","2039 [YR2039] - Population, total [SP.POP.TOTL]","2040 [YR2040] - Population, total [SP.POP.TOTL]","2041 [YR2041] - Population, total [SP.POP.TOTL]","2042 [YR2042] - Population, total [SP.POP.TOTL]","2043 [YR2043] - Population, total [SP.POP.TOTL]","2044 [YR2044] - Population, total [SP.POP.TOTL]","2045 [YR2045] - Population, total [SP.POP.TOTL]","2046 [YR2046] - Population, total [SP.POP.TOTL]","2047 [YR2047] - Population, total [SP.POP.TOTL]","2048 [YR2048] - Population, total [SP.POP.TOTL]","2049 [YR2049] - Population, total [SP.POP.TOTL]","2050 [YR2050] - Population, total [SP.POP.TOTL]"
Trinidad and Tobago,TTO,1271627,1277210,1283564,1290115,1296497,1302552,1308450,1314449,1320921,1328144,1336180,1344814,1353708,1362337,1370332,1377563,1384060,1389841,1394969,1399491,1403374,1407000,1409000,1411000,1413000,1414000,1414000,1414000,1414000,1413000,1412000,1411000,1410000,1408000,1406000,1404000,1401000,1398000,1395000,1392000,1388000,1385000,1380000,1376000,1371000,1366000,1361000,1356000,1350000,1344000
Tunisia,TUN,9793915,9871261,9945282,10022278,10106778,10201211,10304729,10414425,10525691,10635245,10741872,10846993,10952949,11063195,11179951,11303942,11433438,11565203,11694721,11818618,11935764,12047000,12152000,12251000,12347000,12438000,12523000,12605000,12682000,12756000,12826000,12893000,12957000,13018000,13078000,13136000,13192000,13247000,13301000,13353000,13405000,13455000,13504000,13552000,13598000,13642000,13684000,13724000,13762000,13797000
Turkiye,TUR,64192243,65145357,66089402,67010930,67903461,68756809,69581854,70418612,71321406,72326992,73443254,74651046,75925454,77229262,78529413,79827868,81116451,82340090,83429607,84339067,85042736,85562000,85957000,86316000,86705000,87142000,87613000,88115000,88633000,89158000,89693000,90242000,90797000,91341000,91864000,92362000,92837000,93288000,93719000,94132000,94525000,94898000,95249000,95581000,95892000,96184000,96455000,96705000,96934000,97140000
Turkmenistan,TKM,4564087,4610018,4655752,4703396,4754652,4810114,4870142,4935765,5007953,5087211,5174076,5267906,5366376,5466324,5565283,5662371,5757667,5850902,5942094,6031187,6117933,6202000,6283000,6362000,6438000,6511000,6581000,6650000,6717000,6782000,6847000,6911000,6974000,7037000,7099000,7161000,7224000,7286000,7347000,7409000,7469000,7529000,7588000,7645000,7701000,7755000,7807000,7857000,7904000,7949000
Turks and Caicos Islands,TCA,21578,23230,25008,26709,28181,29394,30383,31200,31933,32658,33371,34067,34733,35371,35979,36558,37116,37667,38194,38718,39226,40000,40000,41000,41000,42000,42000,43000,43000,44000,44000,45000,45000,45000,46000,46000,47000,47000,47000,48000,48000,48000,49000,49000,49000,49000,50000,50000,50000,50000
Tuvalu,TUV,9478,9593,9724,9871,9997,10118,10219,10315,10413,10521,10626,10744,10849,10973,11099,11232,11365,11505,11655,11792,11925,12000,12000,12000,12000,13000,13000,13000,13000,13000,13000,13000,14000,14000,14000,14000,14000,14000,14000,15000,15000,15000,15000,15000,15000,15000,16000,16000,16000,16000
Uganda,UGA,24388974,25167261,25980547,26821300,27684590,28571475,29486335,30431734,31411096,32428164,33476772,34558700,35694519,36911530,38225447,39649173,41166588,42729032,44269587,45741000,47123533,48433000,49701000,50976000,52294000,53664000,55072000,56513000,57972000,59438000,60911000,62394000,63886000,65384000,66889000,68398000,69909000,71423000,72938000,74455000,75971000,77485000,78998000,80507000,82013000,83513000,85008000,86495000,87975000,89447000
Ukraine,UKR,48662400,48202470,47812949,47451626,47105171,46787786,46509355,46258189,46053331,45870741,45706086,45593342,45489648,45272155,45154036,45004673,44831135,44622518,44386203,44132049,43814581,43526000,43238000,42950000,42661000,42371000,42080000,41788000,41493000,41195000,40896000,40595000,40294000,39992000,39692000,39392000,39095000,38800000,38509000,38220000,37934000,37650000,37368000,37089000,36811000,36534000,36258000,35983000,35709000,35428000
United Arab Emirates,ARE,3302722,3478769,3711931,4068577,4588222,5300172,6168846,7089486,7917368,8549998,8946778,9141598,9197908,9214182,9262896,9360975,9487206,9630966,9770526,9890400,9991083,10082000,10165000,10245000,10324000,10403000,10481000,10554000,10615000,10661000,10690000,10704000,10706000,10703000,10697000,10691000,10683000,10673000,10662000,10648000,10634000,10618000,10601000,10582000,10558000,10529000,10498000,10467000,10442000,10425000
United Kingdom,GBR,59119673,59370479,59647577,59987905,60401206,60846820,61322463,61806995,62276270,62766365,63258810,63700215,64128273,64602298,65116219,65611593,66058859,66460344,66836327,67081000,67326569,67585000,67828000,68066000,68305000,68542000,68775000,69001000,69216000,69421000,69617000,69808000,69994000,70179000,70362000,70544000,70725000,70903000,71078000,71251000,71418000,71581000,71738000,71889000,72032000,72168000,72297000,72419000,72535000,72640000
United States,USA,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309327143,311583481,313877662,316059947,318386329,320738994,323071755,325122128,326838199,328329953,331501080,331893745,333730000,335555000,337371000,339185000,340994000,342792000,344571000,346331000,348075000,349802000,351506000,353178000,354806000,356384000,357912000,359389000,360818000,362203000,363547000,364853000,366124000,367365000,368581000,369778000,370961000,372137000,373309000,374484000,375631000
Upper middle income,UMC,2172172665,2189375308,2206017832,2222329799,2238569746,2254464805,2270083886,2286029416,2302106817,2318059191,2335395084,2354967527,2374694434,2394063066,2412687400,2431145930,2449903406,2466337061,2480707519,2492597173,2501427939,2512844000,2523319000,2533013000,2542079000,2550571000,2558487000,2565843000,2572628000,2578835000,2584479000,2589561000,2594074000,2597991000,2601317000,2604088000,2606362000,2608174000,2609562000,2610529000,2611051000,2611095000,2610645000,2609670000,2608180000,2606152000,2603600000,2600517000,2596919000,2592578000
Uruguay,URY,3325471,3326046,3323661,3321486,3321799,3325403,3331753,3340221,3349676,3359273,3368926,3378975,3389436,3400439,3412013,3424139,3436645,3449290,3461731,3473727,3485152,3496000,3506000,3516000,3526000,3536000,3545000,3553000,3562000,3569000,3577000,3584000,3591000,3597000,3603000,3608000,3613000,3617000,3621000,3624000,3628000,3630000,3633000,3635000,3636000,3638000,3639000,3639000,3639000,3639000
Uzbekistan,UZB,24964450,25271850,25567650,25864350,26167000,26488250,26868000,27302800,27767400,28562400,29339400,29774500,30243200,30757700,31298900,31847900,32388600,32956100,33580350,34232050,34915100,35374000,35813000,36236000,36643000,37036000,37418000,37790000,38154000,38511000,38863000,39210000,39552000,39891000,40226000,40557000,40884000,41204000,41519000,41825000,42122000,42408000,42681000,42942000,43189000,43423000,43642000,43848000,44041000,44220000
Vanuatu,VUT,189209,193927,198960,204123,209282,214379,219464,224700,230244,236216,242658,249505,256637,263888,271128,278326,285499,292675,299882,307150,314464,322000,329000,337000,344000,352000,360000,368000,375000,383000,391000,400000,408000,416000,425000,433000,442000,450000,459000,468000,476000,485000,494000,503000,512000,521000,530000,539000,548000,557000
"Venezuela, RB",VEN,24646471,25100407,25551624,25996594,26432445,26850190,27247601,27635827,28031010,28439942,28887873,29360827,29781046,30042973,30081827,29851249,29402480,28887117,28515829,28435943,28704947,29267000,30017000,30794000,31481000,32049000,32528000,32932000,33290000,33626000,33936000,34208000,34450000,34672000,34884000,35089000,35286000,35474000,35652000,35819000,35975000,36123000,36261000,36392000,36515000,36630000,36739000,36841000,36935000,37023000
Vietnam,VNM,80742500,81534406,82301650,83062819,83832662,84617545,85419588,86243424,87092250,87967655,88871384,89801926,90752593,91713850,92677082,93640435,94600643,95545959,96462108,97338583,98168829,98954000,99699000,100414000,101107000,101779000,102426000,103043000,103624000,104164000,104660000,105118000,105539000,105930000,106296000,106638000,106955000,107252000,107531000,107795000,108045000,108281000,108503000,108710000,108901000,109077000,109237000,109379000,109503000,109605000
Virgin Islands (U.S.),VIR,108549,108509,108505,108466,108453,108369,108337,108397,108404,108357,108290,108188,108041,107882,107712,107516,107281,107001,106669,106290,105870,106000,105000,105000,104000,104000,103000,103000,102000,102000,101000,101000,100000,99000,99000,98000,98000,97000,96000,95000,95000,94000,93000,92000,92000,91000,90000,89000,88000,88000
West Bank and Gaza,PSE,2997784,3075373,3154969,3236626,3320396,3406334,3494496,3591977,3689099,3786161,3882986,3979998,4076708,4173398,4270092,4367088,4454805,4569087,4685306,4803269,4922749,5039000,5155000,5272000,5389000,5506000,5623000,5741000,5859000,5977000,6096000,6214000,6333000,6453000,6572000,6691000,6810000,6928000,7047000,7165000,7282000,7399000,7515000,7631000,7746000,7860000,7973000,8085000,8196000,8307000
World,WLD,6193663732,6272724236,6351855732,6431527221,6511724848,6592711655,6674181848,6757000414,6839553692,6921854591,7003760440,7089254548,7175500378,7261846543,7347679005,7433650819,7519371102,7602716232,7683806444,7763932702,7836630792,7914463000,7991677000,8067968000,8143284000,8217569000,8290811000,8363023000,8434204000,8504379000,8573549000,8641682000,8708738000,8774684000,8839525000,8903254000,8965937000,9027568000,9088198000,9147795000,9206325000,9263742000,9320015000,9375097000,9428987000,9481630000,9533058000,9583248000,9632201000,9679556000
"Yemen, Rep.",YEM,17918369,18443684,18985001,19540096,20107416,20687648,21282514,21892149,22516464,23154854,23807586,24473176,25147112,25823488,26497881,27168210,27834811,28498683,29161922,29825968,30490639,31155000,31818000,32480000,33140000,33798000,34454000,35107000,35758000,36407000,37053000,37696000,38336000,38972000,39603000,40229000,40850000,41464000,42071000,42670000,43260000,43842000,44413000,44974000,45523000,46060000,46585000,47096000,47595000,48080000
Zambia,ZMB,10692197,10971704,11256740,11550641,11856244,12173518,12502958,12848531,13215142,13605986,14023199,14465148,14926551,15399793,15879370,16363449,16853608,17351714,17861034,18383956,18920657,19470000,20033000,20608000,21197000,21798000,22412000,23039000,23677000,24326000,24985000,25655000,26335000,27024000,27722000,28429000,29144000,29867000,30599000,31338000,32086000,32841000,33604000,34373000,35149000,35931000,36719000,37514000,38314000,39121000
Zimbabwe,ZWE,11923906,11954293,11982219,12019911,12076697,12155496,12255920,12379553,12526964,12697728,12894323,13115149,13350378,13586710,13814642,14030338,14236599,14438812,14645473,14862927,15092171,15331000,15581000,15841000,16110000,16390000,16680000,16979000,17285000,17596000,17912000,18233000,18557000,18883000,19212000,19542000,19874000,20205000,20535000,20864000,21190000,21514000,21835000,22152000,22465000,22772000,23075000,23372000,23663000,23948000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: Population estimates and projections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 07/01/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
